Unit #,Unit Description,Department,Area,Model No.,Critical Unit,Serial No.,Install Date,Refrigerant,Filter Size,Tons,Asset Type,Location List,Number of Filters,Weight
114,Bander Electric,Hot Mill,Bander Electric,ETAC2-15HC230VA-CP,FALSE,5121GP10490,7/22/2022,R410A,washable,2,PTAC,,0,28 OZ
076,Mold Segment East Top Office PTAC,Caster,Mold Segment East Top Office PTAC,DCP153A50AA,FALSE,540H26822012C3002X0116,,R410A,washable,2,PTAC,,0,36 OZ
237,Galv Line Exit Bathroom East,Cold Mill,Galv Line Exit Bathroom East,PTC153B50AM,FALSE,701090015,,R22,washable,2,PTAC,,0,28 OZ
215,Galv Line Middle Restroom PTAC,Cold Mill,Galv Line Middle Restroom PTAC,PTC153B50AM,FALSE,702206633,,R22,washable,2,PTAC,,0,28 OZ
433,Warehouse Connex North,MS Outer Bldgs,Warehouse Connex North,PGE10B24D075A3A,FALSE,8401B31608,,R22,12X12,2,Package,,2,52 OZ
437,Warehouse Connex South,MS Outer Bldgs,Warehouse Connex South,PGE10B24D075A3A,FALSE,8401B31613,,R22,12X12,2,Package,,2,52OZ
521,Old Café Walk-in Cooler,Admin / Cafeteria,Old Café Walk-in Cooler,1HMA0075P01,FALSE,913150660P,,R22,,2,Air to Air,,0,5LB
153,Jeremy Willet Locker,Hot Mill,Jeremy Willet Locker,PDE15K55FA,FALSE,ABCP00311,,R410A,washable,2,PTAC,,0,36 oz
207,Old drawing room ptac,Cold Mill,Old drawing room ptac,PDE15K5SF-A,FALSE,ACEP00236,,R410A,washable,2,PTAC,,0,32.1 OZ
161,Roll Shop Office,Roll Shop,Roll Shop Office,WAC18001W,FALSE,C23022270030,,R-410A,washable,2,Window Unit,,0,28.92
439,Baghouse Change Room,MS Outer Bldgs,Baghouse Change Room,YC2E24SB21SA,FALSE,C2B3466716,7/21/2023,R-410A,20X20,2,Air To Air,,1,5LB
462,Baghouse OFFICE,MS Outer Bldgs,Baghouse OFFICE,YC2E24SB21SA,FALSE,C2B3473369,7/28/2017,R410A,16x25,2,Air to Air,,2,5LB 6OZ
